month,quarter,holiday_season
1,Q1,0
2,Q1,0
3,Q1,0
4,Q2,0
5,Q2,0
6,Q2,0
7,Q3,0
8,Q3,0
9,Q3,0
10,Q4,0
11,Q4,0
12,Q4,1
